time,secondary_infections
0.573503,16
1.450802,23
2.444367,30
3.437435,34
4.430271,38
5.435397,41
6.427464,50
7.431405,62
8.429924,69
9.422873,82
10.421231,92
11.409732,101
12.399779,113
13.416397,131
14.434072,147
15.447732,177
16.465714,199
17.458889,228
18.469363,268
19.479036,317
20.490559,358
21.522148,412
22.54816,479
23.561546,544
24.598354,611
25.609249,682
26.646466,755
27.706085,850
28.74052,941
29.742691,1046
30.787822,1146
31.782715,1216
32.806666,1301
33.801104,1388
34.84235,1466
35.875799,1547
36.868184,1622
37.872271,1689
38.873331,1765
39.886172,1835
40.894356,1917
41.903997,2017
42.952345,2102
43.953036,2199
44.980468,2289
46.005787,2372
47.015496,2463
48.014039,2561
49.034157,2637
50.043974,2719
51.053146,2792
52.054618,2851
53.085887,2942
54.115793,3040
55.121777,3118
56.142312,3217
57.191306,3295
58.210121,3406
59.20191,3499
60.249406,3586
61.292331,3673
62.30575,3784
63.319658,3852
64.326823,3931
65.365083,4010
66.393964,4102
67.399619,4191
68.426438,4275
69.420749,4369
70.416416,4442
71.416043,4525
72.452109,4603
73.476547,4674
74.501008,4768
75.530022,4835
76.544162,4910
77.581899,4988
78.591498,5068
79.63309,5143
80.647244,5225
81.687954,5300
82.681637,5361
83.701193,5427
84.703531,5490
85.704135,5562
86.730369,5639
87.750628,5711
88.785191,5791
89.833489,5873
90.846655,5948
91.861006,6017
92.873866,6111
93.877401,6190
94.882341,6277
95.914035,6352
96.946484,6430
97.964008,6506
98.998859,6596
100.046321,6686
101.040429,6764
102.082888,6860
103.086492,6953
104.098887,7058
105.141616,7148
106.191898,7232
107.235845,7325
108.248546,7391
109.248079,7476
110.252926,7560
111.285112,7652
112.292004,7741
113.34826,7819
114.34427,7908
115.391648,8000
116.38965,8104
117.413649,8202
118.464604,8282
119.470606,8355
120.518981,8430
121.533547,8510
122.566446,8620
123.603721,8718
124.642625,8799
125.638044,8878
126.650846,8948
127.672723,9027
128.717873,9129
129.70978,9222
130.70724,9312
131.715325,9411
132.735025,9500
133.743822,9603
134.757918,9695
135.783581,9780
136.832363,9881
137.8395,9985
138.880241,10069
139.885617,10156
140.929971,10233
141.958147,10319
142.95211,10415
143.994742,10487
144.989326,10571
146.01148,10666
147.035896,10749
148.044536,10841
149.068506,10928
150.111852,11016
151.110776,11093
152.13756,11178
153.188024,11278
154.187404,11374
155.216028,11448
156.208988,11528
157.213431,11620
158.254127,11699
159.280778,11790
160.285372,11881
161.330333,11967
162.35792,12039
163.388743,12126
164.388245,12216
165.388787,12305
166.414045,12405
167.420835,12498
168.461203,12575
169.475252,12663
170.52202,12755
171.538602,12820
172.542388,12908
173.578532,12986
174.598368,13074
175.599124,13153
176.616858,13218
177.6561,13291
178.673073,13387
179.711839,13472
180.739253,13552
181.740966,13638
182.77087,13734
183.806196,13828
184.812912,13911
185.816434,14001
186.813898,14083
187.814586,14174
188.865202,14275
189.857604,14365
190.893464,14449
191.891522,14534
192.89202,14621
193.928128,14701
194.96019,14787
195.992707,14874
197.033088,14965
198.029039,15076
199.034685,15159
200.027274,15240
201.019819,15319
202.020305,15395
203.025256,15480
204.02594,15561
205.024479,15658
206.042162,15769
207.063242,15859
208.110695,15963
209.117119,16063
210.15682,16157
211.171601,16222
212.208355,16306
213.206022,16398
214.207743,16493
215.216098,16576
216.221661,16673
217.224855,16773
218.220376,16862
219.231306,16946
220.224201,17058
221.216641,17145
222.251155,17221
223.264123,17303
224.30062,17391
225.329785,17471
226.347725,17552
227.360105,17632
228.375317,17719
229.374859,17799
230.378276,17882
231.382594,17998
232.383565,18087
233.381762,18183
234.401707,18270
235.401213,18360
236.443148,18446
237.483609,18524
238.524212,18624
239.55732,18713
240.597084,18798
241.645458,18892
242.670102,18975
243.671855,19043
244.671334,19118
245.670883,19200
246.679635,19290
247.690922,19391
248.727982,19493
249.751071,19585
250.768339,19669
251.804472,19775
252.82433,19866
253.844083,19947
254.885871,20045
255.909147,20125
256.955385,20212
257.999318,20316
259.030882,20406
260.046776,20508
261.056066,20580
262.047401,20654
263.050842,20728
264.046173,20819
265.045794,20895
266.061652,20966
267.083487,21067
268.122279,21149
269.149092,21219
270.146842,21306
271.161411,21401
272.162925,21486
273.209577,21568
274.210604,21682
275.204977,21763
276.200944,21849
277.252266,21943
278.257422,22014
279.273234,22111
280.298244,22195
281.336813,22297
282.363433,22374
283.378233,22463
284.41261,22562
285.470684,22656
286.514975,22743
287.550232,22831
288.600346,22913
289.600273,22987
290.641562,23088
291.695455,23197
292.690099,23275
293.713442,23357
294.76325,23448
295.810225,23529
296.80479,23609
297.822711,23693
298.866811,23782
