time,healthies,parazites,mean_vir,mean_trans,mean_recov
0.551958,95,10,0.1715096831905617,0.24478500607995235,0.5599782048971312
1.465368,101,6,0.27342227833182764,0.3718917630883465,0.37890456014492324
2.450622,111,7,0.26223724174067936,0.35450609067511646,0.36251334056545065
3.445488,106,8,0.3088732546944121,0.4232322243715447,0.34538155116592284
4.438495,108,7,0.3424509911626591,0.4731523946412378,0.3278599818665659
5.424362,112,7,0.40867441884462047,0.5700874734777687,0.3113128623167819
6.419303,117,6,0.5580646797415865,0.7912242349372565,0.2447639981773099
7.435805,119,7,0.6352873213453905,0.9042963838474004,0.22546278089120148
8.402802,119,5,0.6644445139767817,0.9142517848114734,0.2230008022523287
9.403531,119,8,0.656062938626766,0.9057211268785585,0.22420934809359294
10.404441,120,9,0.7170408352945356,0.9321407366100137,0.2185669929107073
11.397516,117,12,0.7462541920958993,0.9420154282550287,0.21611065445671065
12.392516,110,19,0.7505750684461973,0.9398203446276915,0.21617134265788754
13.384479,106,23,0.7233979246756069,0.9203986559450289,0.21939573212873853
14.382605,96,31,0.7135325297499194,0.9179325632521864,0.2201042466638509
15.371923,92,38,0.7016871616987528,0.9095788296420221,0.22151100563871182
16.378737,91,53,0.6464854056315152,0.8766672548882276,0.2274035679105272
17.365712,85,58,0.6871350302972962,0.8916543056683905,0.22409198645690281
18.364988,69,71,0.6997492137897687,0.9048768527964169,0.22206340177990821
19.356725,63,68,0.7162240329508043,0.9062105778715731,0.2211385603379203
20.351505,51,66,0.7436794028723988,0.9169713952150408,0.21871556399341577
21.352618,51,61,0.7463963460380139,0.911817145403172,0.2190781346428575
22.34779,45,62,0.70892415142657,0.8927003076844211,0.22276753731443166
23.339642,41,68,0.7418274181054183,0.9092432703846494,0.21954995238310868
24.326834,36,71,0.7721697370377132,0.9266511858700832,0.21637256243446223
25.316622,34,62,0.7899987584150072,0.9408722428147895,0.21410548431912932
26.310865,35,53,0.8171091521996771,0.9496731234237148,0.21196141083172249
27.222315,35,51,0.8597410398475318,0.9623053360259393,0.20866386831131017
28.171437,40,44,0.839920268269059,0.9550335613862874,0.2103340201167583
29.056924,37,39,0.8645619836495058,0.9609683348084189,0.20859709479784555
29.883018,36,34,0.8458196756530942,0.9594515758241651,0.20963983738354802
30.650221,27,29,0.8543178284355236,0.9626197136104306,0.20888900504784466
31.319333,30,24,0.8532539057383451,0.9615733512471109,0.20905279900415766
31.991589,30,19,0.8366537400473547,0.9599176030347112,0.20998208178428734
32.621409,31,18,0.8272370173118576,0.9534700890440373,0.21108334565156806
33.241911,30,17,0.8211052450468677,0.9497354183927617,0.21177110110976838
33.848284,38,12,0.8313110924559526,0.9600320455299128,0.2101870137777719
34.489724,36,19,0.852544250187187,0.9642807435446293,0.20873077658283698
35.167887,38,18,0.8789208565714064,0.9701029164690903,0.20685316620483926
35.85702,41,20,0.8355388685144526,0.9562120872569739,0.21034105066113643
36.576841,37,22,0.8172256123957891,0.9489291378170268,0.21194284220767245
37.351667,40,20,0.8363386734532972,0.9555023343909047,0.2103969613164956
37.816759,29,25,0.807124125317619,0.943656876182903,0.21296461252009422
38.299015,26,22,0.8302958471815305,0.9500828945309013,0.21122347276186446
38.744727,33,19,0.84788224729055,0.9525395717476959,0.2101415839198392
39.212744,32,19,0.8572657063510668,0.9568542552568357,0.20929541156912523
39.675258,33,20,0.867357572010987,0.967784682187135,0.20766437545552074
40.146562,29,20,0.8676751583568313,0.9677365232197814,0.20765978557677628
40.597463,27,23,0.8634335360711395,0.9674627431202147,0.20787054896273827
41.236253,30,19,0.8764945305902396,0.9693617001342615,0.20706305813900916
41.67412,29,17,0.866738407465194,0.9674218274360039,0.20772989047771026
42.107428,28,13,0.888405422671984,0.9709867023634193,0.2063413302792774
42.535868,25,13,0.8814077670821334,0.9699652546932586,0.20677563647806946
42.980232,22,12,0.8087071615763916,0.9432324345157972,0.21300897683317177
43.378226,23,9,0.8485377953858657,0.9600336796009845,0.2093642114757004
43.870951,29,7,0.8023646708185254,0.9479624967176452,0.21283352713847228
44.393743,33,6,0.7373584945173121,0.9211293392593611,0.21869993587365563
44.948406,41,5,0.7563662358295326,0.9238147684761557,0.21748510860693387
45.539384,39,4,0.734654243223226,0.913259612538422,0.21963118748629862
46.096089,43,2,0.715638350380492,0.9218975848911326,0.21965199808988442
46.690636,45,1,0.8432142062547586,0.9660353922270908,0.20890079308947468
47.289196,46,0,0,0,0
0.489759,95,10,0.17046070748640121,0.24846348082828565,0.5596872280834106
0.556023,95,10,0.17046070748640121,0.24846348082828565,0.5596872280834106
1.457872,97,8,0.1936059492788903,0.2835916809423052,0.5223617283638695
2.421441,102,15,0.22776513957407443,0.3358582661731043,0.4338798211112092
3.409448,101,18,0.2341467732985918,0.3029485619458567,0.4242327297754258
4.403692,105,17,0.33234201286809595,0.3665842217315842,0.4075119256379267
5.396045,105,17,0.3867537101466234,0.4266552302193474,0.42514991014193354
6.412123,110,16,0.4607478580334406,0.4941051888637717,0.382137902029758
7.391101,104,20,0.6201208869399899,0.6943642577547433,0.26554702086229554
8.384264,103,19,0.5572611450052153,0.607649354574126,0.3003112627383791
9.38776,98,18,0.5673100250123739,0.6766567475203643,0.2793893115853128
10.367638,89,23,0.6249943173065577,0.7534594959160753,0.2627957456008931
11.363586,87,23,0.5880464108039292,0.7101938992938921,0.26786993416597477
12.361613,69,30,0.6433409259173309,0.7957876103001974,0.2450185673879716
13.296811,64,32,0.6784036946215054,0.812012170250126,0.24108258818804001
14.208922,57,40,0.6473477489439949,0.7905847913478359,0.24860949385427925
